layer,pc1_explained_variance,pc2_explained_variance,pc3_explained_variance
0,0.7970767021179199,0.026958037167787552,0.017474548891186714
1,0.615964949131012,0.0717247873544693,0.03215126693248749
2,0.4377439022064209,0.1155029833316803,0.043237991631031036
3,0.3385152518749237,0.10189469158649445,0.045834675431251526
4,0.28325068950653076,0.09111646562814713,0.05247928574681282
5,0.29233717918395996,0.08227018266916275,0.05850519239902496
6,0.2590748369693756,0.09258626401424408,0.0581376887857914
7,0.24465256929397583,0.10141487419605255,0.057925570756196976
8,0.19593945145606995,0.09920655936002731,0.06259291619062424
9,0.20576849579811096,0.11400005221366882,0.06983596086502075
10,0.16778497397899628,0.10645299404859543,0.06659064441919327
11,0.1186932772397995,0.09136063605546951,0.06659777462482452
12,0.10640152543783188,0.0825916975736618,0.059241533279418945
13,0.10185909271240234,0.08284875750541687,0.05748968943953514
14,0.10311492532491684,0.08549845963716507,0.05878354236483574
15,0.10419631749391556,0.08412143588066101,0.05693475529551506
16,0.1056438758969307,0.08551901578903198,0.058672793209552765
17,0.10424812138080597,0.08549363166093826,0.05832542106509209
18,0.11042779684066772,0.08872537314891815,0.06143060326576233
19,0.11030302196741104,0.08184591680765152,0.05951135605573654
20,0.11058042198419571,0.07818975299596786,0.058083727955818176
21,0.10587473213672638,0.0767085924744606,0.05703700706362724
22,0.10660208761692047,0.07731539011001587,0.058486852794885635
23,0.10617262870073318,0.0778704434633255,0.056473083794116974
24,0.10903275012969971,0.08082259446382523,0.05770164728164673
25,0.11563818901777267,0.079936183989048,0.05794048309326172
26,0.12277386337518692,0.08554039150476456,0.059025537222623825
27,0.12841592729091644,0.08825290203094482,0.058151260018348694
28,0.1296350508928299,0.09028597176074982,0.05585093796253204
29,0.13274066150188446,0.1002674326300621,0.05864826589822769
30,0.12988367676734924,0.10088682174682617,0.056062255054712296
31,0.12982282042503357,0.09561623632907867,0.05520714074373245
32,0.12544173002243042,0.09150244295597076,0.05441312491893768
33,0.13038475811481476,0.0866314023733139,0.054448340088129044
34,0.13205347955226898,0.0842016339302063,0.053314030170440674
35,0.1323351114988327,0.08031976968050003,0.05518097057938576
36,0.12440697848796844,0.08034314215183258,0.06336449831724167
37,0.11634402722120285,0.08496438711881638,0.06750983744859695
38,0.11392106115818024,0.08500993996858597,0.07082166522741318
39,0.16798998415470123,0.09744585305452347,0.06510157138109207
